SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-07,60,17.7
Abandoned Vehicle Complaint,2019-07,61,9.8
Abandoned Vehicle Complaint,2019-07,62,16.9
Abandoned Vehicle Complaint,2019-07,63,16.0
Abandoned Vehicle Complaint,2019-07,64,18.6
Abandoned Vehicle Complaint,2019-07,65,19.8
Abandoned Vehicle Complaint,2019-07,66,14.0
Abandoned Vehicle Complaint,2019-07,67,12.7
Abandoned Vehicle Complaint,2019-07,68,15.3
Abandoned Vehicle Complaint,2019-07,69,21.8
Abandoned Vehicle Complaint,2019-07,70,13.9
Abandoned Vehicle Complaint,2019-07,71,15.8
Abandoned Vehicle Complaint,2019-07,72,15.8
Abandoned Vehicle Complaint,2019-07,73,20.5
Abandoned Vehicle Complaint,2019-07,74,11.1
Abandoned Vehicle Complaint,2019-07,75,15.0
Abandoned Vehicle Complaint,2019-07,76,10.0
Abandoned Vehicle Complaint,2019-07,77,13.1
Abandoned Vehicle Complaint,2019-08,1,8.1
Abandoned Vehicle Complaint,2019-08,2,13.7
Abandoned Vehicle Complaint,2019-08,3,11.7
Abandoned Vehicle Complaint,2019-08,4,11.6
Abandoned Vehicle Complaint,2019-08,5,12.0
Abandoned Vehicle Complaint,2019-08,6,13.0
